Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,cluster,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9
1088,"RAVI AT U/S MADHOPUR, H.P.",HIMACHAL PRADESH,-1.4034637033976398,-1.761490525830324,1.1702983798336433,0.45713960125400294,-1.692403661678185,-0.007357604927877901,-0.11968044641650702,-0.15371709643526443,-0.4013390731661817,-0.1242909883282406,-0.3032737119286697,-0.11489895043888831,-0.06395760390670037,-0.03834643013137265,-0.05736064386591652,-0.028668298149540996,c3,c3,c2,c6,c3,c3
1089,"RAVI AT U/S CHAMBA, H.P.",HIMACHAL PRADESH,-2.0698019891065718,-2.748877560945567,1.5751179004925786,0.30347552806815115,-0.7405299393608613,0.00017496799874624735,-0.14869987743552895,-0.17263447711348626,-0.4013390731661817,-0.21209568056028344,-0.3032737119286697,-0.11489895043888831,-0.06382796191883038,-0.03834579763920409,-0.05730478161861572,-0.028712912908994342,c3,c3,c3,c1,c3,c6
2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,-1.7736516399026019,-1.5716084036927773,1.4739130203278452,0.34189154636461405,-0.16940570597046747,0.00017496799874624735,-0.1380085081127314,-0.1750970947165684,-0.4013390731661817,-0.2094349323108276,-0.3032737119286697,-0.019853164732978355,-0.06376314092489538,-0.038345481393119815,-0.057240939050271944,-0.02871146437784326,c3,c3,c3,c6,c3,c3
2615,RAVI AT D/S CHAMERA III HEP,HIMACHAL PRADESH,-2.08831138593182,-2.7109011365180575,1.5245154604102118,0.34189154636461405,-1.5020289172147192,0.03783783263186712,-0.13495383116336065,-0.1552842167281349,-0.4013390731661817,-0.2094349323108276,-0.3032737119286697,-0.10625842446562377,-0.06380635492085204,-0.03834569222384267,-0.05728882097652978,-0.02871146437784326,c3,c3,c3,c1,c3,c6
2613,RAVI AT D/S OF CHAMBA TOWN,HIMACHAL PRADESH,-2.08831138593182,-2.7109011365180575,1.5245154604102118,0.30347552806815115,-0.7405299393608613,0.0077075409253703955,-0.14666342613594846,-0.1734180372599215,-0.4013390731661817,-0.18814894631518086,-0.39692731269336057,-0.10625842446562377,-0.06376314092489538,-0.038345481393119815,-0.05728882097652978,-0.028712333496533907,c3,c3,c3,c1,c3,c6
1097,"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR, PUNJAB",PUNJAB,-1.125822751018918,-1.761490525830324,1.322105700080744,0.1113954365858357,0.5920932718833921,-0.045020469560998845,-0.11713488229203141,-0.1773358379920976,-0.36558885183766116,-0.22007792530865095,-0.02231290963459723,-0.12353947641215283,-0.06333100096532873,-0.03833715357956713,-0.05681798203499441,-0.028710884965382825,c3,c3,c2,c6,c8,c3
1290,"PARVATI BEFORE CONF. TO RIVER BEAS, H.P.",HIMACHAL PRADESH,-2.2363865605338047,-3.280547502930698,1.4233105802454784,1.1870439488868016,-0.16940570597046747,-0.014890177854502184,-0.1690643904313338,-0.18461175363756754,-0.41921418383044207,-0.22539942180756267,-0.39692731269336057,-0.14514079134531419,-0.06376314092489538,-0.03833999979432564,-0.05633916277241608,-0.02870219377847633,c3,c3,c3,c1,c3,c6
2605,PARVATI AT U/S MANIKARAN,HIMACHAL PRADESH,-3.1618564017962103,-3.0906653807931512,1.9293349810691478,1.3407080220726542,-0.9309046838243253,-0.007357604927877901,-0.17364640585538993,-0.18114170156049728,-0.41921418383044207,-0.2280601700570185,-0.39692731269336057,-0.13218000238541738,-0.0639143899107437,-0.038343162255168435,-0.05720901776610005,-0.02871146437784326,c3,c3,c3,c1,c3,c6
2606,PARVATI AT D/S MANIKARAN,HIMACHAL PRADESH,-3.1618564017962103,-2.9957243197243777,1.87873254098678,1.3022920037761911,-0.5501551948973955,-0.022422750781126332,-0.17262818020559967,-0.18226107319826187,-0.41921418383044207,-0.2280601700570185,-0.39692731269336057,-0.14946105433194648,-0.06387117591478704,-0.03834147560938561,-0.05691374588751008,-0.028710595259152608,c3,c3,c3,c1,c3,c6
1090,"LARGI AT D/S, H.P.",HIMACHAL PRADESH,-2.6065744970387668,-2.3311368922429643,1.6257203405749454,1.1486279305903389,-0.35978045043393153,-0.014890177854502184,-0.16804616478154358,-0.1819252617069325,-0.41921418383044207,-0.22539942180756267,-0.39692731269336057,-0.14514079134531419,-0.06354707094511206,-0.038336731918121425,-0.05633916277241608,-0.028706539371929577,c3,c3,c3,c1,c3,c6
