Name of station,D.O mg/L,pH,Conductivity m mhos/cm,BOD at 27 C mg/L,Nitrate mg/L,Nitrite mg/L,Fecal coliform MPN/100,Total coliform MPN/100,Turbidity NTU,Phenophthaline Alkalinity,Total Alkalinity,Chloride,COD,Total Kjeldahl Nitrogen,"Ammonia-N,as N",Hardness as CaCO3,Calcium as Ca++,Magnesium as Mg++,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Fluoride,DBU Class
'Red Hills',5.7,7.6,988.0,5.5,1.0,0.05,163.0,516.0,5.2,1.0,211.0,146.0,46.0,8.6,4.0,298.0,86.0,20.0,168.0,179.0,652.0,512.0,10.0,0.5,0.001,5.8,0.1,D
'Porur',6.35,7.86,1131.0,4.3,1.0,1.8,170.0,965.0,5.2,1.0,205.0,227.0,42.0,7.6,5.0,292.0,60.0,34.0,102.0,167.0,779.0,585.0,17.0,0.5,0.001,13.0,0.1,D
'Pulicate',5.4,7.76,75544.0,4.0,1.8,0.4,379.0,311.0,11.9,8.0,266.0,31391.0,197.0,7.4,6.8,6931.0,1276.0,817.0,2694.0,15176.0,57900.0,50269.0,21.0,0.1,0.001,400.0,0.1,D
'Mettur',5.8,7.6,353.0,2.0,0.31,0.26,38.0,118.0,14.1,10.0,133.0,35.0,16.0,2.0,0.9,126.0,46.0,38.0,16.0,24.9,247.0,230.0,17.0,0.15,0.002,3.04,0.48,B
'Pallipalayam',6.09,7.61,465.0,2.7,0.15,0.09,291.0,691.0,16.5,13.8,146.0,59.0,25.0,3.4,1.5,134.0,53.0,44.0,14.0,43.0,333.0,284.0,24.0,0.3,0.002,4.3,0.49,B
'Bhavani',6.06,7.7,459.4,2.0,0.31,0.23,105.0,280.0,13.3,17.0,155.6,52.0,15.0,3.13,1.4,158.0,66.0,52.0,22.0,41.0,331.0,311.0,18.0,0.2,0.002,4.5,0.55,B
'Bhavani sagar',6.07,7.29,194.0,1.0,0.1,0.05,36.0,107.0,9.0,1.0,81.0,18.0,11.0,3.0,1.1,64.0,32.0,22.0,7.0,13.0,150.0,136.0,13.0,0.2,0.002,2.7,0.46,B
'Sirumugai',6.5,6.88,228.0,1.0,0.39,0.01,58.0,144.0,76.0,1.0,69.0,18.0,11.0,2.15,0.93,65.0,27.0,25.0,5.0,14.0,137.0,124.0,74.0,0.17,0.002,2.7,0.57,B
'Bathira kaliamman koil',6.63,6.94,197.0,1.0,0.15,0.1,35.0,103.0,58.0,1.0,70.0,25.0,11.0,2.05,0.79,66.0,29.0,23.0,5.0,13.0,149.0,136.0,54.0,0.11,0.002,2.2,0.49,B
'Musiri Borewell',6.7,8.03,406.0,1.0,0.0,0.006,1.18,2.0,13.0,12.0,152.0,42.0,16.0,2.2,1.1,148.0,72.0,76.0,6.0,32.0,280.0,264.0,20.0,0.1,0.002,5.2,1.26,A
'Musiri Ferrygate',6.58,7.73,585.0,1.0,0.93,0.155,177.0,488.0,14.0,21.0,160.0,89.0,21.0,3.6,1.2,241.0,149.0,92.0,29.0,40.0,415.0,392.0,19.0,0.1,0.002,5.1,0.87,B
'Kallidai Kurichi',7.12,6.46,51.0,2.0,0.515,0.049,7.0,23.0,2.96,1.0,13.0,13.6,19.0,0.39,0.28,13.6,4.0,0.85,1.8,0.7,33.8,30.0,3.5,0.15,0.002,0.5,0.01,A
