Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
1001.0,BEAS AT U/S MANALI,HIMACHAL PRADESH,2,13,8.7,11.2,7.3,8.4,90,179,0.1,0.2,0.2,0.31,12,33,120,240
4444.0,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,8,14,8.5,10.8,7.3,8.1,62,92,0.1,0.8,0.2,0.2,31,94,280,540
4037.0,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,2,13,8.9,10.9,7,8.3,68,135,0.1,1,0.1,0.1,20,32,120,280
2601.0,BEAS AT D/S MANALI,HIMACHAL PRADESH,3,14,8.2,11.1,6.9,8.2,78,218,0.1,0.6,0.1,0.4,25,170,280,920
2602.0,BEAS AT U/S KULLU,HIMACHAL PRADESH,5,15,7.6,11.5,7,8.6,63,149,0.1,0.4,0.1,0.2,25,70,220,540
4445.0,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,9,13,7.8,11.1,7.5,8,73,122,0.3,1.4,0.2,0.4,40,94,350,540
1002.0,BEAS AT D/S KULU,HIMACHAL PRADESH,6,13,7.8,11.3,7.4,8.4,66,341,0.2,0.8,0.03,0.36,39,110,220,920
1003.0,BEAS AT D/S AUT,HIMACHAL PRADESH,6,15,8.7,11,7.3,8.1,50,141,0.1,0.4,0.1,0.13,26,94,150,430
1004.0,BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,10,19,8.6,11,7.5,8.4,62,136,0.1,0.4,0.1,0.1,13,40,170,280
2603.0,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9,24,7.2,11.3,7.2,8.1,74,149,0.1,0.4,0.1,0.2,22,110,240,350
1005.0,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,14,24,7.9,9.9,7.8,8.6,83,241,0.1,0.4,0.1,0.14,26,49,130,350
1550.0,BEAS U/S MANDI,HIMACHAL PRADESH,7,22,7.1,10.2,7.7,8.4,73,159,0.1,0.2,0.1,0.2,17,27,120,280
1006.0,BEAS AT D/S MANDI,HIMACHAL PRADESH,8,24,8.1,11.2,7.6,8.5,75,251,0.2,0.6,0.02,0.92,31,350,340,1600
2604.0,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,8.5,16,9,10.5,7.4,8.6,129,340,0.1,0.5,0.5,1.3,2,6,39,170
1007.0,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,8.5,14,9,10.3,7.5,8.1,122.8,290,0.1,0.5,0.47,1.41,2,6,47,150
3855.0,"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,8.5,20,9,11.5,7.3,8.1,176,323,0.1,0.4,0.2,1.2,2,6.1,40,170
