Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
1009.0,"RIVER BEAS AT D/S
PONG DAM","HIMACHAL
PRADESH",18.0,27.0,5.5,9.1,7.0,8.0,146.0,216.0,1.0,1.0,0.3,1.65,2,2,26,41
1008.0,"RIVER BEAS AT D/S
DEHRAGOPIPUR","HIMACHAL
PRADESH",20.0,26.0,7.2,9.3,7.1,8.1,141.0,544.0,1.0,1.0,0.3,1.1,2,2,17,41
4435.0,"RIVER BEAS U/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,30.0,7.8,9.8,7.1,8.0,120.0,540.0,1.0,1.0,0.3,0.67,2,2,24,47
4436.0,"RIVER BEAS D/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,29.0,7.7,9.5,7.0,8.1,131.0,561.0,1.0,1.0,0.3,1.6,2,2,24,49
4437.0,"RIVER BEAS U/S
NADAUM TOWN","HIMACHAL
PRADESH",10.2,29.0,7.8,9.8,7.3,8.0,122.0,307.0,1.0,1.0,0.3,1.1,2,2,24,39
4438.0,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE
OF MAAN KHAD",HIMACHAL PRADESH,10.2,29.0,7.8,9.7,7.2,8.1,138.0,326.0,1.0,1.0,0.34,2.5,2,2,26,49
4443.0,"RIVER BEAS AT
RAISON","HIMACHAL
PRADESH",5.0,15.0,7.5,9.3,7.0,8.3,71.0,118.0,1.0,1.0,0.32,1.07,32,110,210,430
1693.0,"RIVER BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,8.0,36.0,6.9,8.3,7.5,8.3,158.0,244.0,1.0,1.2,0.4,1.0,18,140,84,260
1694.0,"RIVER BEAS AT U/S PATHANKOT,
PUNJAB",PUNJAB,11.0,38.0,7.0,8.8,7.0,8.5,194.0,312.0,1.1,1.5,0.4,1.3,40,130,120,430
1010.0,"RIVER BEAS AT MIRTHAL BRIDGE,
GURDASPUR",PUNJAB,10.0,38.0,7.1,9.8,7.6,8.4,195.0,318.0,1.1,1.6,0.3,1.2,32,130,100,260
1695.0,"RIVER BEAS D/S PATHANKOT,
PUNJAB",PUNJAB,11.0,38.0,6.8,8.1,7.5,8.2,200.0,302.0,1.1,1.7,0.5,1.0,40,130,140,470
1294.0,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT
MUKERIAN , PUNJAB",PUNJAB,18.0,34.0,6.3,8.0,7.3,8.2,197.0,328.0,1.0,1.8,0.6,2.0,68,170,200,490
1696.0,"RIVER BEAS U/S
GOINDWAL, PUNJAB",PUNJAB,15.0,29.0,7.1,9.3,7.7,8.3,166.0,248.0,1.0,1.3,0.32,1.0,63,130,220,470
