Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
1009.0,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,11.5,27.5,5.2,9.2,6.8,8.0,172,309,BDL,1,BDL,1.16,2,2,31.0,79.0
1008.0,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,13.0,27.0,8.6,9.3,7.6,8.1,135,362,BDL,1,BDL,1.59,2,2,21.0,58.0
4435.0,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.2,26.0,8.2,9.8,7.1,8.2,151,364,BDL,1,BDL,1.32,2,2,23.0,47.0
4436.0,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.1,26.0,8.1,9.7,7.6,8.5,157,478,BDL,1,BDL,1.5,2,2,26.0,79.0
4437.0,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,7.6,28.0,8.2,9.9,7.3,8.3,199,587,BDL,1,BDL,0.97,2,2,22.0,48.0
4438.0,RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,10.0,29.0,7.8,9.9,7.5,8.3,163,336,BDL,1,0.3,1.35,2,4,31.0,58.0
4443.0,RIVER BEAS AT RAISON,HIMACHAL PRADESH,3.0,13.0,8.5,11.5,7.2,8.0,52,136,BDL,1,BDL,0.75,31,70,170.0,280.0
30083.0,BEAS AT TALWARA (PONG DAM),INTER-STATE,23.0,23.0,9.2,9.2,8.1,8.1,194,194,1,1,BDL,1.66,2,2,31.0,31.0
30084.0,"BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",INTER-STATE,33.0,33.0,8.1,8.1,7.2,7.2,244,244,1,1,BDL,1.4,92,92,220.0,220.0
1693.0,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,8.0,36.0,6.9,7.9,7.5,8.1,160,262,1,1.4,BDL,0.7,17,68,84.0,170.0
1694.0,"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,10.0,36.0,6.6,8.0,7.4,7.9,219,394,1,1.4,0.5,0.8,20,68,70.0,250.0
1010.0,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,9.0,36.0,7.2,8.1,7.5,8.1,216,380,1,1.5,0.4,0.8,31,170,84.0,390.0
1695.0,"BEAS D/S PATHANKOT, PUNJAB",PUNJAB,10.0,35.0,6.8,7.8,7.4,8.1,232,390,1,1.7,0.4,0.9,58,130,170.0,490.0
1294.0,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,16.5,32.4,6.1,7.9,7.6,8.0,218,365,1,1.6,0.4,0.9,78,210,330.0,490.0
4164.0,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,17.9,31.3,6.4,8.3,7.6,8.1,213,321,1,1.4,0.5,0.9,78,210,210.0,490.0
1011.0,BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,10.0,36.0,6.8,8.5,7.8,8.1,205,300,1,1.5,0.5,0.8,63,360,140.0,610.0
1012.0,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,11.0,33.0,7.1,8.8,7.6,8.1,197,270,1,1.3,BDL,0.7,78,210,220.0,490.0
1696.0,"BEAS U/S GOINDWAL, PUNJAB",PUNJAB,10.0,32.0,0.3,8.9,7.8,8.1,190,268,1,1.3,BDL,0.7,68,200,150.0,450.0
1697.0,"BEAS AT HARIKE, PUNJAB",PUNJAB,14.0,34.0,7.3,9.1,7.7,8.2,192,280,1,1.2,BDL,0.8,70,210,170.0,480.0
3866.0,"MANALSU NALLAH BEFORE CONFLUENCE TO RIVER
BEAS",HIMACHAL PRADESH,3.0,11.0,8.8,11.2,7.0,8.5,29,430,BDL,1,BDL,0.73,12,46,46.0,210.0
3867.0,"SARVARI NALLAH BEFORE CONFLUENCE TO RIVER
BEAS",HIMACHAL PRADESH,5.0,18.0,8.7,10.7,7.0,7.8,119,187,BDL,BDL,0.35,0.58,-,-,0.35,0.58
3868.0,"BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER
BEAS",HIMACHAL PRADESH,3.0,11.0,8.9,11.2,6.9,8.1,39,110,BDL,BDL,0.37,0.66,-,-,0.37,0.66
1867.0,"SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT. KINNAUR",HIMACHAL PRADESH,6.0,9.0,9.0,9.5,7.2,8.4,962,4420,BDL,BDL,BDL,0.5,20,94,140.0,540.0
2611.0,SUTLEJ AT KHAB,HIMACHAL PRADESH,6.0,9.0,9.0,9.6,7.2,8.4,355,3351,BDL,BDL,BDL,0.72,17,120,140.0,540.0
3872.0,SUTLEJ RIVER D/S TIDONG HEP,HIMACHAL PRADESH,7.0,11.0,7.8,9.4,7.6,8.4,228,3843,BDL,1,BDL,0.96,7,84,210.0,540.0
4448.0,RIVER SUTLEJ U/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,7.0,11.0,8.1,9.4,7.4,8.5,348,4317,BDL,1,BDL,0.61,7,39,170.0,430.0
4449.0,RIVER SUTLEJ D/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,7.0,11.0,8.0,9.3,7.7,8.5,338,4235,BDL,1,BDL,0.55,11,54,170.0,540.0
4452.0,RIVER SUTLEJ U/S CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,7.0,12.0,8.5,9.6,7.5,8.7,170,4165,BDL,1,BDL,0.47,9,79,170.0,920.0
3871.0,SUTLEJ RIVER D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,7.0,12.0,8.2,9.0,7.5,8.4,359,4304,BDL,1,BDL,0.56,7,47,130.0,540.0
3870.0,RIVER SUTLEJ AT KARCHAM DRAIN,HIMACHAL PRADESH,8.0,12.0,8.0,9.0,7.8,8.6,124,4180,BDL,1,BDL,0.58,5,70,49.0,920.0
1389.0,SUTLEJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,8.0,12.0,8.0,9.0,7.3,8.3,161,3698,BDL,1.4,BDL,0.69,14,110,140.0,920.0
3869.0,"SUTLEJ RIVER D/S TRT OF RAMPUR HYDEL ELECTRIC
PROJECT",HIMACHAL PRADESH,8.0,15.0,8.2,8.7,7.3,8.4,145,3828,BDL,1.1,0.26,1.06,11,700,180.0,920.0
1086.0,SUTLEJ AT U/S RAMPUR,HIMACHAL PRADESH,8.0,14.0,8.4,9.1,7.4,8.4,152,2923,BDL,1.1,BDL,0.56,22,150,140.0,920.0
1087.0,SUTLEJ AT D/S RAMPUR,HIMACHAL PRADESH,8.9,14.0,5.0,9.2,7.1,8.4,147,3759,BDL,1.6,BDL,0.92,2,170,39.0,1600.0
1013.0,SUTLEJ AT U/S TATAPANI,HIMACHAL PRADESH,9.0,15.0,8.0,8.9,7.4,8.4,158,3745,BDL,1,BDL,0.56,11,79,280.0,920.0
4446.0,RIVER SUTLEJ U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,8.0,14.0,8.4,9.2,7.3,8.5,148,3721,BDL,1.6,BDL,0.91,13,45,130.0,920.0
4447.0,RIVER STLUJ D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,8.0,14.0,8.3,9.0,7.5,8.4,141,3763,BDL,6,BDL,1.03,4,110,13.0,1600.0
1014.0,SUTLEJ AT U/S SLAPPER,HIMACHAL PRADESH,14.0,23.0,8.3,9.6,7.4,8.4,85,221,BDL,1,BDL,0.51,22,84,94.0,280.0
1015.0,SUTLEJ AT D/S SLAPPER,HIMACHAL PRADESH,14.0,24.0,7.9,9.2,7.5,8.2,90,200,BDL,1,BDL,4.68,23,110,94.0,350.0
1016.0,SUTLEJ AT D/S BHAKHRA,HIMACHAL PRADESH,15.0,23.4,7.7,9.8,7.1,8.2,137,310,BDL,1,BDL,1.21,2,4,21.0,84.0
4032.0,U/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,HIMACHAL PRADESH,15.0,23.0,7.5,9.8,7.7,8.6,77,406,BDL,1,BDL,1.24,23,150,94,350
4033.0,D/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,HIMACHAL PRADESH,16.0,22.0,8.2,10.6,7.4,8.3,173,400,BDL,1.2,BDL,2.53,23,170,120,540
4450.0,RIVER SUTLEJ U/S CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,7.0,13.0,8.4,9.7,7.7,8.4,111,3774,BDL,1,BDL,0.56,8,36,70,920
4451.0,RIVER SUTLEJ D/S CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.0,13.0,8.4,9.8,7.7,8.3,140,3810,BDL,1,BDL,0.66,11,42,79,920
30009.0,SUTLEJ AT NANGAL (H.P.),INTER-STATE,,,8.9,10.2,7.0,8.0,223,1871,1,1.4,0.41,0.61,13,680,33,3300
30010.0,SUTLEJ AT NOORPUR BEDI ROAD (PUNJAB),INTER-STATE,,,9.1,9.8,7.3,8.1,221,1888,1,1,0.31,0.51,8,1100,170,7000
30087.0,"RIVER SUTLEJ U/S AT OLINDA, NEAR BHAKRA DAM,
H.P.",INTER-STATE,24.0,24.0,8.9,8.9,7.1,7.1,181,181,1,1,-,-,2,2,34,34
1814.0,"SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,11.0,29.0,7.0,10.6,7.3,8.4,194,306,1,1,1.1,2.69,82,230,250,700
2915.0,"SUTLEJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",PUNJAB,12.0,24.0,7.5,10.3,7.5,8.5,196,377,1,1.2,1.2,2.61,20,93,140,340
1380.0,"SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,12.0,23.0,8.0,9.9,7.7,10.2,190,376,1,1,1,3.2,20,110,140,330
10020.0,RIVER SUTLEJ AT ANANDPUR SAHIB,PUNJAB,12.0,28.0,7.6,10.0,7.4,8.8,225,369,1,1,1.2,3.98,82,220,310,490
10021.0,RIVER SUTLEJ AT BUNGA SAHIB,PUNJAB,12.0,19.0,7.4,10.5,7.6,8.5,190,271,1,1.2,1.3,1.86,100,260,330,630
10022.0,RIVER SUTLEJ AT PHILLAUR U/S,PUNJAB,14.0,37.0,6.4,7.4,7.0,7.4,232,320,1,4,BDL,0.9,120,1700,280,4900
10023.0,RIVER SUTLEJ AT PHAGWARA U/S (CHAHERU BRIDGE),PUNJAB,15.0,37.0,1.2,4.0,6.9,7.4,717,962,3.6,16,0.4,0.72,170,4000,790,11000
